,id,track_name,artist,album_name,album_release_date,album_track_num,album_track_placement,genre,duration_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
92,1UrHneob6DrcOGHJk9cnoE,Requiem,Der Weg einer Freiheit,Stellar,2015-03-23,2,0.25,,8.370766666666666,False,17,0.217,0.849,1,-10.292,1,0.0646,1.86e-05,0.896,0.0572,0.0395,109.563,3
93,258mwnb1fPXgfCaGBy7dYH,"Skepsis, Pt. I",Der Weg einer Freiheit,Finisterre,2017-08-25,3,0.5,,5.0837666666666665,False,22,0.15,0.968,3,-8.563,0,0.171,6.21e-05,0.872,0.511,0.0383,159.133,4
94,4mbeEoG180K94VDYIzpj3i,Aufbruch,Der Weg einer Freiheit,Finisterre,2017-08-25,1,0.16666666666666666,,9.828433333333333,False,30,0.24,0.913,3,-8.898,0,0.179,0.000292,0.614,0.163,0.0341,119.85,4
95,120nG2z0Qww8FXeIJlYZBp,A Lament,Wreck and Reference,Black Cassette,2011-12-02,6,1.0,,4.607333333333333,False,3,0.205,0.739,0,-10.688,0,0.0834,0.000114,0.876,0.277,0.0861,137.986,4
96,6UIUpP2BOeSghv7yVtHxvO,All the Ships Have Been Abandoned,Wreck and Reference,Black Cassette,2011-12-02,1,0.16666666666666666,,5.2171,False,4,0.251,0.679,11,-9.657,0,0.0633,0.0937,0.506,0.132,0.141,120.339,4
97,6d9M26BLiPFF5ACssk2pqT,Fane of the Clandestine,Dumal,The Lesser God,2017-01-02,1,0.125,,6.209549999999999,False,12,0.24,0.956,5,-5.418,1,0.0659,6.06e-05,0.932,0.375,0.0567,160.195,4
98,0pIS6jsRg9julLAdl0pjb3,Altitude Lake,SLIFT,UMMON,2020-02-28,6,0.5454545454545454,,6.07535,False,29,0.269,0.809,10,-6.46,1,0.0682,0.327,0.793,0.174,0.124,119.274,4
99,7l6N7gAeOhMEtrQkJDfelD,Citadel on a Satellite,SLIFT,UMMON,2020-02-28,4,0.36363636363636365,,10.126516666666667,False,27,0.145,0.877,7,-7.159,1,0.131,0.00991,0.828,0.0957,0.131,187.828,4
100,6RnzSwhrY8K1xteVCrGvhq,Veins of God,Liturgy,Aesthethica,2011-05-10,9,0.75,,7.916666666666667,False,14,0.28,0.791,7,-6.336,1,0.0439,5.2e-06,0.846,0.109,0.469,132.207,3
101,6AqbYNueUljHHtSa22pJLS,Generation,Liturgy,Aesthethica,2011-05-10,4,0.3333333333333333,,7.12155,False,21,0.19,0.987,4,-4.78,0,0.0964,1.68e-06,0.945,0.0873,0.104,136.25,3
102,5F9YXkJvtAJbRwEtE2VxXy,Returner,Liturgy,Aesthethica,2011-05-10,3,0.25,,3.5877666666666665,False,19,0.183,0.977,2,-4.889,1,0.0893,1.49e-06,0.875,0.0942,0.0397,60.061,3
103,6bfeFW6cHdCYzKcdgTmczi,Bringer of Light,Mors Principium Est,...And Death Said Live,2012-12-14,5,0.45454545454545453,,4.2667,False,21,0.473,0.999,0,-2.259,0,0.108,7.88e-05,0.0734,0.435,0.0351,109.95,4
104,6qPNcYd5sn1nl3kGrZ4civ,Water over the Bridge,Voyager,Colours in the Sun,2019-11-01,9,0.9,,4.7064,False,19,0.299,0.94,1,-4.999,0,0.148,0.000486,0.000409,0.107,0.181,144.936,3
105,7wErd15Z5rQP11sfO2UeOq,Propelled Into Sacrilege,Defeated Sanity,Propelled Into Sacrilege,2020-05-01,1,1.0,,4.0511,False,9,0.263,0.849,1,-9.166,1,0.0906,0.000398,0.74,0.257,0.41,111.461,4
106,6egOR0AUWFqq0Vqh3nFjdQ,Gratitude,Car Bomb,Meta,2016-10-28,4,0.36363636363636365,,4.37875,False,31,0.15,0.946,4,-4.478,1,0.09,0.000146,0.212,0.116,0.331,85.668,4
107,7u7NztwtycnpSWlNI1bhZN,Embers,Elder,Omens,2020-04-24,4,0.8,,10.786,False,20,0.372,0.911,4,-8.008,0,0.0463,5.41e-05,0.0789,0.197,0.434,159.963,4
108,66DfnUc48RpGIiR5kFPVXc,Halcyon,Elder,Omens,2020-04-24,3,0.6,,12.797333333333334,False,23,0.416,0.831,10,-8.799,0,0.0378,0.000326,0.61,0.283,0.128,139.988,4
109,5olluWUXjkYTAIqtnFElyS,Promethean War,Nocturnal Graves,…from the Bloodline of Cain,2013-11-12,1,0.125,,3.10725,False,10,0.166,0.988,1,-4.669,1,0.11,3.06e-05,0.923,0.117,0.11,110.116,4
110,1Ck04jT45IwBhDzeXF3KnS,Silhouettes of Death's Grace,The Ruins Of Beverast,Please Don't Walk on the Mass Graves,2020-03-27,2,1.0,,9.928433333333334,False,11,0.38,0.879,0,-6.893,1,0.0556,0.0862,0.925,0.879,0.155,99.95,4
111,5c1g1fcjyCGepwu14OTLCK,Vectors,Haunted Shores,Viscera,2018-05-25,6,0.75,,6.245633333333333,False,0,0.356,0.899,2,-6.997,1,0.0581,0.000188,0.717,0.161,0.133,144.964,3
112,0DfjomeLIz2Hln6mlyiVND,Love Will Find a Way,Cory Henry,Love Will Find a Way,2018-10-05,1,1.0,,5.547333333333333,False,26,0.681,0.78,2,-5.349,1,0.0926,0.00751,0.000299,0.0678,0.606,102.029,4
113,3FrhNWIcRxrPFFcqFernIp,Gemini,Boards of Canada,Tomorrow's Harvest,2013-06-10,1,0.058823529411764705,,2.9375666666666667,False,35,0.515,0.428,2,-21.131,1,0.111,0.982,0.894,0.0991,0.0795,163.384,4
114,2asnQKwHCVy0FT96Jw5H2x,Dead Finks Don't Talk - 2004 Digital Remaster,Brian Eno,Here Come The Warm Jets,1973,8,0.8,,4.326216666666666,False,32,0.497,0.526,0,-11.987,1,0.0543,0.056,0.37,0.563,0.705,177.282,4
115,4Td5IwS2F0LqnlNgNLPwfR,Vlek,Fluisteraars,Vlek,2019-12-17,1,1.0,,7.036666666666666,False,3,0.335,0.735,11,-11.206,0,0.0436,6.21e-05,0.974,0.116,0.4,143.972,3
116,1wMhQVFi1NV3YUdFymsjrN,Amethyst,Eneferens,The Bleakness of Our Constant,2018-10-26,3,0.42857142857142855,,7.142383333333333,False,7,0.265,0.66,9,-7.992,0,0.0378,0.000322,0.533,0.108,0.175,126.231,4
117,7xo9hnzv6Zrd7UcDEj8rtQ,Never Ending Circles,CHVRCHES,Every Open Eye (Special Edition),2015-09-25,1,0.07142857142857142,,3.1108166666666666,False,44,0.509,0.738,5,-5.282,1,0.0329,0.0873,0.0,0.409,0.441,89.969,4
118,0433sg9hxt2nWQjB7LLted,We Sink,CHVRCHES,The Bones of What You Believe,2013-09-20,2,0.16666666666666666,,3.572883333333333,True,42,0.607,0.766,7,-7.558,1,0.0383,9.7e-05,0.000288,0.635,0.453,125.076,4
119,1EU5pHvqe4hcYArHFXsboo,Unending Grey,Hope Drone,Cloak of Ash,2015-07-24,1,0.14285714285714285,,20.079016666666668,False,6,0.145,0.635,0,-8.53,0,0.0607,0.00337,0.892,0.114,0.0375,94.544,4
120,2LdBeIgc3TeQnjqseMyRmR,Sepal,Emptyset,Sepal,2020-01-23,1,1.0,,3.2916666666666665,False,2,0.352,0.924,1,-6.01,1,0.798,0.0597,0.155,0.104,0.0554,76.831,3
121,2d4YZWrFEHEhhbbZqk9Z30,End of the Line,Sleigh Bells,Reign of Terror,2012-02-17,4,0.36363636363636365,,3.6344333333333334,False,0,0.428,0.936,7,-5.385,1,0.0403,0.37,0.865,0.286,0.603,141.936,4
122,3447BqpqrPHjlu8D6N8PoP,The Astral Seer,Hällas,Excerpts from a Future Past,2017-10-13,1,0.14285714285714285,,6.7502,False,35,0.283,0.728,2,-7.325,0,0.0354,0.0157,0.000153,0.0534,0.528,144.415,4
